Conversions:,
42 nm/V,
0.1 N/m,
,Force Data
Displacement (m),Force (N)
0.000008000000,-0.0000000033532500
0.000007979950,-0.0000000033494400
0.000007959900,-0.0000000033456400
0.000007939850,-0.0000000033469100
0.000007919800,-0.0000000033456400
0.000007899750,-0.0000000033405600
0.000007879700,-0.0000000033405600
0.000007859650,-0.0000000033443700
0.000007839600,-0.0000000033405600
0.000007819550,-0.0000000033431000
0.000007799500,-0.0000000033431000
0.000007779450,-0.0000000033418300
0.000007759400,-0.0000000033431000
0.000007739350,-0.0000000033443700
0.000007719300,-0.0000000033443700
0.000007699250,-0.0000000033443700
0.000007679200,-0.0000000033469100
0.000007659150,-0.0000000033405600
0.000007639100,-0.0000000033316800
0.000007619050,-0.0000000033342200
0.000007599000,-0.0000000033329500
0.000007578950,-0.0000000033354900
0.000007558900,-0.0000000033354900
0.000007538850,-0.0000000033367500
0.000007518800,-0.0000000033367500
0.000007498750,-0.0000000033405600
0.000007478700,-0.0000000033392900
0.000007458650,-0.0000000033418300
0.000007438600,-0.0000000033469100
0.000007418550,-0.0000000033481700
0.000007398500,-0.0000000033507100
0.000007378450,-0.0000000033481700
0.000007358400,-0.0000000033507100
0.000007338350,-0.0000000033507100
0.000007318300,-0.0000000033507100
0.000007298250,-0.0000000033519800
0.000007278200,-0.0000000033532500
0.000007258150,-0.0000000033519800
0.000007238100,-0.0000000033596000
0.000007218050,-0.0000000033608600
0.000007197990,-0.0000000033570600
0.000007177950,-0.0000000033621300
0.000007157890,-0.0000000033646700
0.000007137840,-0.0000000033634000
0.000007117790,-0.0000000033672100
0.000007097740,-0.0000000033634000
0.000007077690,-0.0000000033684800
0.000007057640,-0.0000000033672100
0.000007037590,-0.0000000033621300
0.000007017540,-0.0000000033659400
0.000006997490,-0.0000000033684800
0.000006977440,-0.0000000033697500
0.000006957390,-0.0000000033710200
0.000006937340,-0.0000000033697500
0.000006917290,-0.0000000033722800
0.000006897240,-0.0000000033760900
0.000006877190,-0.0000000033735500
0.000006857140,-0.0000000033773600
0.000006837090,-0.0000000033786300
0.000006817040,-0.0000000033811700
0.000006796990,-0.0000000033799000
0.000006776940,-0.0000000033862400
0.000006756890,-0.0000000033862400
0.000006736840,-0.0000000033862400
0.000006716790,-0.0000000033837000
0.000006696740,-0.0000000033837000
0.000006676690,-0.0000000033887800
0.000006656640,-0.0000000033913200
0.000006636590,-0.0000000033938600
0.000006616540,-0.0000000033938600
0.000006596490,-0.0000000033976600
0.000006576440,-0.0000000033951200
0.000006556390,-0.0000000033989300
0.000006536340,-0.0000000033989300
0.000006516290,-0.0000000033989300
0.000006496240,-0.0000000034027400
0.000006476190,-0.0000000034014700
0.000006456140,-0.0000000034052800
0.000006436090,-0.0000000034040100
0.000006416040,-0.0000000033976600
0.000006395990,-0.0000000034040100
0.000006375940,-0.0000000034027400
0.000006355890,-0.0000000034065500
0.000006335840,-0.0000000034052800
0.000006315790,-0.0000000034078100
0.000006295740,-0.0000000034078100
0.000006275690,-0.0000000034078100
0.000006255640,-0.0000000034128900
0.000006235590,-0.0000000034128900
0.000006215540,-0.0000000034154300
0.000006195490,-0.0000000034167000
0.000006175440,-0.0000000034154300
0.000006155390,-0.0000000034128900
